2009,5,20,FITB,Sell,100
2009,5,15,FITB,Buy,100
2009,5,22,FITB,Sell,100
2009,5,21,FITB,Buy,100
2009,5,29,FITB,Sell,100
2009,6,16,FITB,Buy,100
2009,6,23,FITB,Sell,100
2009,6,22,FITB,Buy,100
2009,6,29,FITB,Sell,100
2009,7,17,FITB,Buy,100
2009,7,24,FITB,Sell,100
2008,1,9,FTR,Buy,100
2008,1,16,FTR,Sell,100
2008,6,6,FTR,Buy,100
2008,6,13,FTR,Sell,100
2008,6,26,FTR,Buy,100
2008,7,3,FTR,Sell,100
2008,10,6,FTR,Buy,100
2008,10,13,FTR,Sell,100
2008,11,14,GCI,Buy,100
2008,11,21,GCI,Sell,100
2008,12,11,GCI,Buy,100
2008,12,18,GCI,Sell,100
2008,12,18,GCI,Buy,100
2008,12,26,GCI,Sell,100
2009,1,15,GCI,Buy,100
2009,1,23,GCI,Sell,100
2009,8,4,GCI,Buy,100
2009,8,11,GCI,Sell,100
2009,8,6,GCI,Buy,100
2009,8,13,GCI,Sell,100
2009,3,2,GE,Buy,100
2009,3,9,GE,Sell,100
2008,9,29,GNW,Buy,100
2008,10,6,GNW,Sell,100
2008,10,6,GNW,Buy,100
2008,10,13,GNW,Sell,100
2009,6,30,GNW,Buy,100
2009,7,8,GNW,Sell,100
2009,7,28,GNW,Buy,100
2009,8,4,GNW,Sell,100
2009,7,31,GNW,Buy,100
2009,8,7,GNW,Sell,100
2008,11,10,GT,Buy,100
2008,11,17,GT,Sell,100
2009,1,12,GT,Buy,100
2009,1,20,GT,Sell,100
2009,2,10,GT,Buy,100
2009,2,18,GT,Sell,100
2009,3,27,GT,Buy,100
2009,4,3,GT,Sell,100
2008,6,9,HBAN,Buy,100
2008,6,16,HBAN,Sell,100
2008,7,18,HBAN,Buy,100
2008,7,25,HBAN,Sell,100
2008,7,24,HBAN,Buy,100
2008,7,31,HBAN,Sell,100
2008,8,7,HBAN,Buy,100
2008,8,14,HBAN,Sell,100
2008,8,12,HBAN,Buy,100
2008,8,19,HBAN,Sell,100
2008,8,18,HBAN,Buy,100
2008,8,25,HBAN,Sell,100
2008,9,4,HBAN,Buy,100
2008,9,11,HBAN,Sell,100
2008,9,29,HBAN,Buy,100
2008,10,6,HBAN,Sell,100
2008,10,9,HBAN,Buy,100
2008,10,16,HBAN,Sell,100
2008,11,17,HBAN,Buy,100
2008,11,24,HBAN,Sell,100
2008,12,1,HBAN,Buy,100
2008,12,8,HBAN,Sell,100
2008,12,4,HBAN,Buy,100
2008,12,11,HBAN,Sell,100
2008,12,11,HBAN,Buy,100
2008,12,18,HBAN,Sell,100
2008,12,19,HBAN,Buy,100
2008,12,29,HBAN,Sell,100
2009,1,7,HBAN,Buy,100
2009,1,14,HBAN,Sell,100
2008,11,19,HIG,Buy,100
2008,11,26,HIG,Sell,100
2008,12,1,HIG,Buy,100
2008,12,8,HIG,Sell,100
2009,2,20,HIG,Buy,100
2009,2,27,HIG,Sell,100
2009,2,25,HIG,Buy,100
2009,3,4,HIG,Sell,100
2008,10,27,HST,Buy,100
2008,11,3,HST,Sell,100
2008,11,14,HST,Buy,100
2008,11,21,HST,Sell,100
2008,11,25,HST,Buy,100
2008,12,3,HST,Sell,100
2008,12,1,HST,Buy,100
2008,12,8,HST,Sell,100
2008,12,4,HST,Buy,100
2008,12,11,HST,Sell,100
2008,12,9,HST,Buy,100
2008,12,16,HST,Sell,100
2008,12,11,HST,Buy,100
2008,12,18,HST,Sell,100
2008,12,15,HST,Buy,100
2008,12,22,HST,Sell,100
2008,12,18,HST,Buy,100
2008,12,26,HST,Sell,100
2008,12,23,HST,Buy,100
2008,12,31,HST,Sell,100
2008,12,29,HST,Buy,100
2009,1,6,HST,Sell,100
2009,1,12,HST,Buy,100
2009,1,20,HST,Sell,100
2009,4,27,HST,Buy,100
2009,5,4,HST,Sell,100
2009,3,9,IGT,Buy,100
2009,3,16,IGT,Sell,100
2009,2,5,IP,Buy,100
2009,2,12,IP,Sell,100
2009,2,10,IP,Buy,100
2009,2,18,IP,Sell,100
2009,3,19,IP,Buy,100
2009,3,26,IP,Sell,100
2009,3,30,IP,Buy,100
2009,4,6,IP,Sell,100
2009,4,6,IP,Buy,100
2009,4,14,IP,Sell,100
2009,4,14,IP,Buy,100
2009,4,21,IP,Sell,100
2008,7,15,IPG,Buy,100
2008,7,22,IPG,Sell,100
2008,9,29,IPG,Buy,100
2008,10,6,IPG,Sell,100
2008,10,2,IPG,Buy,100
2008,10,9,IPG,Sell,100
2009,9,17,IPG,Buy,100
2009,9,24,IPG,Sell,100
2009,9,22,IPG,Buy,100
2009,9,29,IPG,Sell,100
2009,10,1,IPG,Buy,100
2009,10,8,IPG,Sell,100
2009,12,17,IPG,Buy,100
2009,12,24,IPG,Sell,100
2009,12,28,IPG,Buy,100
